"","GSM95424","GSM95425","GSM95444","GSM95324","GSM95421","GSM95423","GSM95325","GSM95420","GSM95422","GSM95290","GSM95292","GSM95293","GSM95262","GSM95263","GSM95291","GSM95112","GSM95114","GSM95242","GSM95237","GSM95239","GSM95256","GSM95236","GSM95259","GSM95295","GSM95194","GSM95296","GSM95323","GSM95260","GSM95261","GSM95294"
"150123_at",6.23735,6.28774,6.24286,6.32477,6.28669,6.28564,6.38358,6.33713,6.30385,6.23569,6.13976,6.28875,6.2474,6.32088,6.11922,6.37897,6.35309,6.22792,6.30868,6.30251,6.45009,6.37301,6.24157,6.20427,6.24114,6.21836,6.18643,6.16171,6.27007,6.2571
"150124_at",5.2544,5.12646,5.41216,4.93122,5.22237,5.0865,5.19476,5.15687,5.05003,5.20149,5.23059,5.15002,5.20785,5.16851,5.12651,4.9135,4.81489,5.24524,5.15223,5.27891,5.10547,4.89195,5.36286,5.06778,4.81538,5.19204,5.06076,4.97145,5.17679,4.92988
"150125_at",3.33488,3.13752,3.33299,3.38948,3.26347,3.17773,3.21213,3.31817,3.1648,3.1675,3.21527,3.2202,3.30767,3.219,3.18041,3.27729,3.21625,3.24346,3.15223,3.19055,3.19398,3.21155,3.35405,3.23584,3.15372,3.25911,3.22366,3.31412,3.17119,3.29596
"150126_at",9.52436,9.6235,9.57066,9.27331,9.35678,9.44482,9.48491,9.58328,9.61559,9.59095,9.67778,9.65982,9.72681,9.43408,9.66106,9.34511,9.40582,9.84159,9.63385,9.50547,9.6636,9.21276,9.5224,9.7799,9.57379,9.80183,9.81769,9.69709,9.65663,9.33934
"150127_at",4.31102,4.25693,4.38126,4.44025,4.37706,4.37022,4.48269,4.30631,4.40285,4.2935,4.2143,4.34445,4.35262,4.27466,4.12835,4.35211,4.4644,4.30389,4.15015,4.47077,4.28946,4.30875,4.28856,4.17403,4.42384,4.33372,4.31246,4.40495,4.19831,4.53253
"150128_at",6.78708,6.52124,6.72939,6.2352,6.38073,6.73762,6.8625,6.51473,6.76444,6.71883,6.47073,6.48107,6.53134,6.69949,6.35281,6.05209,6.16707,6.493,6.43959,6.47422,6.41403,6.09418,6.96481,6.24906,6.1487,6.34663,6.37248,6.53538,6.28405,6.41407
"150129_at",4.09832,4.04669,4.08003,4.18805,4.09864,4.08608,4.17864,4.02187,4.27234,3.70602,3.48575,4.08888,4.03553,4.02653,3.80816,3.97965,4.09249,3.74621,3.70727,3.90245,3.77349,4.02344,3.99858,3.85786,3.96483,3.72896,3.85925,4.01887,3.95511,3.8708
"150130_at",3.31471,3.32102,3.42178,3.333,3.52726,3.58822,3.39542,3.44628,3.54937,3.29201,3.0978,3.33441,3.25731,3.4716,3.27031,3.3521,3.4313,3.29562,3.23458,3.35998,3.36937,3.6207,3.46042,3.42359,3.39994,3.33085,3.35958,3.57021,3.52913,3.50136
"150131_at",5.85531,5.99817,5.83282,6.27211,6.02875,6.02844,5.986,5.97544,5.91009,6.18504,6.16978,6.14072,6.08319,5.97609,6.50812,6.20059,6.1666,6.17893,6.0498,6.03554,6.22337,6.45695,5.67075,6.03386,6.18387,6.17204,6.17111,5.88224,6.10942,6.11645
"150132_at",3.66995,4.17861,3.45845,4.18439,4.10224,4.01678,4.18208,4.00757,3.95416,3.89527,4.3917,3.90392,3.71433,3.82341,3.80408,3.49641,3.85802,3.7289,3.73238,3.3348,3.96291,4.26163,3.28544,3.80876,3.72126,4.04214,3.9475,3.53927,3.71938,4.00686
"150133_at",4.97811,5.03107,4.8919,5.13398,5.04959,4.98848,5.09861,4.94691,5.15976,5.01597,4.98619,4.93839,4.66191,4.80208,4.90299,4.79253,4.93746,4.70765,5.07876,4.79061,5.02984,5.3499,4.53534,5.00206,4.95139,5.02277,5.13343,4.88172,4.83175,5.15681
"150134_at",6.20101,6.3242,6.24703,6.43086,6.41458,6.35749,6.27084,6.33919,6.3116,6.18158,6.16082,6.32867,6.27738,6.21172,6.19597,6.2766,6.48055,6.17868,6.31465,6.36333,6.22915,6.44266,6.39806,6.27716,6.3567,6.25443,6.2492,6.38387,6.29654,6.32812
"150135_at",6.08306,5.90043,6.1149,5.89797,6.08075,6.10049,5.90191,5.98724,5.96987,5.92999,5.97654,6.01634,5.9842,6.1129,5.97203,6.04293,6.12948,6.02834,6.00905,5.93013,5.96596,6.10495,6.20077,5.98073,6.04107,6.0957,5.99422,6.09265,6.02399,6.22523
"150136_at",3.71101,3.51388,3.67408,3.60893,3.74939,3.83119,3.68144,3.47903,3.60661,3.60063,3.41922,3.85341,3.5986,3.84431,3.41207,3.69193,3.86166,3.60172,3.51252,3.66416,3.60216,3.95816,3.7519,3.70957,3.76629,3.6163,3.73097,3.96045,3.80303,4.05985
"150137_at",2.68163,2.40571,2.42789,2.45148,2.71909,2.55568,2.49572,2.5406,2.56502,2.50631,2.47641,2.50446,2.54658,2.38912,2.56395,2.57525,2.63108,2.48429,2.4285,2.47995,2.35793,2.50416,2.63976,2.50372,2.58564,2.45348,2.41234,2.52742,2.52045,2.46458
"150138_at",2.71874,2.6599,2.56013,2.45498,2.51597,2.69121,2.63224,2.5078,2.57442,2.61932,2.42454,2.46225,2.50766,2.64254,2.54064,2.34422,2.38865,2.49296,2.37488,2.5539,2.39449,2.36066,2.55679,2.43402,2.22623,2.50227,2.41472,2.46781,2.47026,2.41161
"150139_at",5.31016,5.19107,5.4988,5.32103,5.38763,5.3319,5.43174,5.28479,5.26643,5.49133,5.35929,5.31508,5.27794,5.44258,5.26463,5.2933,5.12271,5.20506,5.21747,5.41253,5.24779,5.15934,5.26145,5.21621,5.07838,5.33587,5.2173,5.12385,5.28056,5.15862
"150140_at",5.80235,6.48552,5.79922,6.44999,5.91728,5.95092,6.16649,5.96957,5.82092,6.4442,6.44397,6.42344,6.35798,5.79002,6.51112,6.63755,6.514,6.46211,6.47663,6.39055,6.9525,6.69654,5.75581,6.55534,6.4565,6.55643,6.506,6.05621,6.45513,5.8758
"150141_at",5.4228,5.18766,5.58705,5.52702,5.6728,5.39592,5.58809,5.58053,5.64237,5.37674,5.10794,5.45605,5.30244,5.29477,5.20476,5.58878,5.57686,5.18095,5.12098,5.41821,5.37095,5.39357,5.61107,5.41004,5.46594,5.33209,5.24487,5.64756,5.40179,5.53658
"150142_at",4.10339,4.39999,4.38598,4.56593,4.52892,4.35066,4.60958,4.33909,4.27605,4.5094,4.7207,4.61417,4.45301,4.45986,4.77113,4.88073,4.90206,4.65629,4.77351,4.7179,5.05936,4.78854,4.4033,4.66181,4.8406,4.62469,4.81684,4.48302,4.65666,4.47875
"150143_at",4.64273,4.51843,4.69257,4.97669,4.78079,4.72666,4.73009,4.67879,4.75621,4.83912,4.6414,4.69509,4.5456,4.72873,4.92282,4.8481,4.66643,4.76783,4.87769,4.72315,4.79199,4.88503,4.67145,4.7358,4.91763,4.70381,4.62141,4.59451,4.6529,4.70275
"150144_at",4.39662,4.36496,4.60252,4.70793,4.61189,4.57722,4.76859,4.63922,4.59882,4.55598,4.47666,4.70331,4.5662,4.60574,4.47824,4.7508,4.66031,4.59001,4.5768,4.59106,4.61376,4.64977,4.5618,4.65293,4.659,4.57934,4.62536,4.64091,4.69987,4.70314
"150145_at",6.17869,5.95422,6.15841,6.15371,5.70411,5.9843,6.24279,5.95681,6.14689,6.06676,6.46798,6.17612,6.23944,6.22152,6.42904,6.29588,6.20144,6.47021,6.42989,6.16468,6.36614,6.31343,5.71102,6.39677,6.35275,6.2706,6.1429,6.25277,6.24893,6.27795
"150146_at",2.62577,2.888,2.5642,2.62552,2.80756,2.87414,2.81485,2.80007,2.59184,2.73243,2.5571,2.75843,2.60009,2.72603,2.68491,2.65078,2.70447,2.65588,2.58377,2.62868,2.66924,2.84266,2.66663,2.69343,2.66663,2.65603,2.6788,2.60204,2.67823,2.78667
"150147_at",5.9091,5.59353,5.82481,5.44685,5.31384,5.74847,5.55017,5.43628,5.5129,5.70373,5.49883,5.42654,5.42664,5.63785,5.52137,5.46252,5.57105,5.48965,5.67747,5.71525,5.70336,5.2366,5.97799,5.46223,5.36053,5.57271,5.56355,5.47241,5.57515,5.3787
"150148_at",4.36609,4.30715,4.19072,4.20662,4.36217,4.41533,4.3218,4.27639,4.32847,4.26073,4.16631,4.35107,4.18718,4.16579,4.18527,4.50618,4.50225,4.31366,4.36073,4.31257,4.29659,4.58355,4.41793,4.2403,4.33596,4.29794,4.28035,4.50301,4.50396,4.54201
"150149_at",3.45819,3.38898,3.20878,3.46355,3.54416,3.49508,3.51215,3.36504,3.5126,3.45631,3.56149,3.48358,3.44818,3.68229,3.46068,3.57805,3.6812,3.53169,3.44288,3.65879,3.48685,3.47264,3.63944,3.57583,3.5998,3.56338,3.52585,3.57745,3.68261,3.77923
"150150_at",2.41499,2.4592,2.49385,2.45964,2.33191,2.44194,2.4651,2.51422,2.41122,2.28968,2.41908,2.53596,2.5471,2.42094,2.48017,2.46985,2.40106,2.72327,2.43646,2.47257,2.48238,2.54007,2.38996,2.39401,2.49019,2.37399,2.43163,2.53027,2.28066,2.55878
"150151_at",3.20425,3.19862,3.23208,3.21483,3.11143,3.52965,3.29194,3.42284,3.57127,3.2529,3.28205,3.15307,3.19518,3.40473,3.2476,3.17436,3.04382,3.25893,3.15467,3.1256,3.18818,3.23693,3.30413,3.72543,3.28506,3.44156,3.60305,3.53643,3.83027,3.4231
"150152_at",3.434,3.49091,3.36661,3.66227,3.46962,3.53349,3.83419,3.57771,3.80602,3.37952,3.49804,3.70035,3.37562,3.45949,3.48142,3.5282,3.47848,3.33107,3.56497,3.5295,3.43414,3.41416,3.60861,3.65661,3.43484,3.64422,3.57823,3.86016,3.59956,3.72449
"150153_at",3.28068,3.34688,3.16815,3.21044,3.41465,3.37291,3.19425,3.31238,3.39284,3.18802,3.08235,3.39832,3.36394,3.42324,3.37209,3.36311,3.54884,3.28424,3.27728,3.38775,3.20859,3.4322,3.33148,3.24527,3.42045,3.19114,3.25396,3.42193,3.45426,3.43496
"150154_at",4.4995,4.40588,4.4758,4.23753,4.29577,4.42277,4.34894,4.33178,4.11205,4.11367,3.95204,4.28143,4.12213,3.94142,4.12794,3.99113,4.1817,3.96975,3.98608,3.91426,3.87952,4.02997,4.0134,4.01254,3.91589,4.05249,4.04038,4.10708,3.90281,3.85001
"150155_at",6.65822,6.57802,6.67526,6.31285,6.46793,6.67133,6.39474,6.49536,6.33627,6.48892,6.65131,6.50094,6.52512,6.55616,6.48842,6.37217,6.43809,6.40021,6.42612,6.54916,6.49572,6.44053,6.63221,6.46701,6.35931,6.5125,6.48414,6.45428,6.58294,6.44118
"150156_at",6.32905,6.38425,6.48185,6.52757,6.61314,6.22282,6.30571,6.45205,6.46971,6.19935,6.08357,6.37673,6.36573,6.49362,6.3757,6.4578,6.48973,6.41647,6.1886,6.36543,6.20311,6.44044,6.31523,6.52116,6.42959,6.42088,6.20544,6.45465,6.47901,6.54365
"150157_at",4.82025,4.64557,4.69856,4.71906,4.91658,4.53243,4.76232,4.62971,4.6963,4.56508,4.47741,4.74849,4.68269,4.88404,4.51333,4.67475,4.84258,4.52781,4.69817,4.83707,4.57245,4.7358,4.93582,4.64601,4.69544,4.48569,4.72077,4.71379,4.9042,4.95804
"150158_at",5.89079,5.89942,5.92558,5.82971,6.15062,5.95103,6.05568,5.93781,6.04522,6.02257,5.72536,6.14326,5.95497,6.03217,5.96952,5.92623,6.34166,5.76596,6.04548,5.86265,5.94263,6.07874,6.28516,5.93959,6.05948,6.01332,6.02706,6.11512,6.06936,6.22987
"150159_at",6.22579,6.3099,6.20514,6.35602,6.32781,6.31184,6.32328,6.3274,6.27158,6.18141,6.02753,6.40221,6.21368,6.26206,6.2189,6.55366,6.52201,6.17434,6.20957,6.39803,6.2006,6.40334,6.35977,6.18296,6.31936,6.28322,6.17268,6.35911,6.31961,6.37845
"150160_at",5.71779,5.69034,5.89012,5.95075,6.10813,5.94527,5.91316,6.00157,5.92583,5.93385,5.70599,5.99089,5.90728,6.17106,5.88011,6.01209,6.05661,5.71534,5.75447,5.95142,5.94781,5.94376,6.093,5.99252,6.03238,5.92116,5.90296,6.01136,6.11649,5.99634
"150161_at",6.23723,6.34069,6.32458,6.46955,6.43525,6.29669,6.47427,6.51663,6.52939,6.24497,6.13662,6.41028,6.26253,6.58359,6.21209,6.39682,6.57438,6.19199,6.1442,6.47716,6.23987,6.56902,6.52401,6.31578,6.43195,6.31098,6.29409,6.49782,6.47281,6.42675
"150162_at",4.54648,4.55573,4.54793,4.42674,4.45531,4.35658,4.44592,4.57485,4.55237,4.65377,4.58952,4.6952,4.5165,4.46495,4.43192,4.68618,4.50501,4.46741,4.66755,4.65149,4.45839,4.27914,4.53369,4.57385,4.49719,4.59596,4.43007,4.4446,4.47859,4.504
"150163_at",6.85568,6.997,6.77499,7.14512,7.16605,6.9148,6.86878,6.9195,6.90703,6.83155,7.05547,7.02674,6.99977,6.92166,7.02439,7.47086,7.36314,7.23513,7.13053,7.05851,7.29476,7.49966,6.76948,7.22957,7.33642,7.11061,7.13484,6.87692,7.16169,7.14032
