"","GSM95424","GSM95425","GSM95444","GSM95324","GSM95421","GSM95423","GSM95325","GSM95420","GSM95422","GSM95290","GSM95292","GSM95293","GSM95262","GSM95263","GSM95291","GSM95112","GSM95114","GSM95242","GSM95237","GSM95239","GSM95256","GSM95236","GSM95259","GSM95295","GSM95194","GSM95296","GSM95323","GSM95260","GSM95261","GSM95294"
"141200_at",3.77628,3.44458,3.76067,3.38473,3.57696,3.7131,3.59374,3.68243,3.71822,3.95261,3.67817,3.57283,3.59273,3.70173,3.84251,3.56832,3.47294,3.61899,3.65057,3.49014,3.48292,3.47337,3.33723,3.7165,3.59834,3.61366,3.51833,3.49258,3.59201,3.619
"141201_at",5.64283,5.47795,5.5337,5.58603,5.60629,5.57885,5.6038,5.40856,5.53217,5.55998,5.37299,5.60045,5.54066,5.54693,5.53791,5.35057,5.36798,5.45633,5.42917,5.36852,5.48704,5.50797,5.60756,5.45302,5.43918,5.4653,5.39093,5.31444,5.38658,5.52682
"141202_at",6.80354,7.01271,6.81637,6.66803,6.73312,6.96012,6.55975,6.91156,6.53144,7.1988,7.10604,6.9917,7.20713,6.88922,7.1328,6.81038,6.59039,7.10774,7.15448,7.023,6.99686,6.84621,7.1612,7.21648,6.88146,7.23107,7.14023,6.99964,6.99194,6.89965
"141203_at",5.42622,5.53965,5.38007,5.26991,5.18558,5.3628,5.06871,5.31143,5.24742,5.5106,5.55732,4.9244,5.34438,5.31099,5.25818,5.30885,5.00733,5.29198,5.5714,5.2971,5.46427,5.18254,4.89952,5.26514,5.24436,5.30005,5.25522,5.18857,4.87618,4.64422
"141204_at",4.58124,4.55277,4.45829,4.45801,4.56932,4.45476,4.47072,4.60259,4.68283,4.74907,4.73757,4.60691,4.75126,4.63275,4.61199,4.38889,4.42526,4.60187,4.79595,4.71561,4.60023,4.60738,4.66237,4.50229,4.50161,4.61582,4.75641,4.67276,4.70003,4.51917
"141205_at",5.94997,5.94535,5.97233,5.62635,5.79158,5.75519,5.63485,5.84344,5.89039,6.27263,6.38052,5.85537,6.07541,5.99084,6.05975,5.99645,5.70484,6.22243,6.3572,5.99588,6.19795,5.80494,6.08442,5.9371,5.81833,6.20205,6.02565,5.77513,5.9145,5.54886
"141206_at",7.10323,6.90955,6.9438,6.82933,6.97706,7.00155,6.84405,6.88599,7.08814,7.26723,7.30107,7.04612,7.12128,6.91636,7.19411,6.92828,6.77359,7.05528,6.99981,6.93164,7.01813,6.85509,6.90477,7.07699,6.90999,7.07053,6.98945,6.98939,6.90513,6.86361
"141207_at",4.31335,4.38611,4.20917,4.20606,4.22661,4.15154,3.94747,4.36661,4.02184,4.47476,4.85886,4.44182,4.64402,4.41563,4.84036,4.47072,4.43998,4.62824,4.60173,4.4661,4.65171,4.33647,3.66241,4.50527,4.48618,4.55939,4.47822,4.18343,4.46629,4.33264
"141208_at",5.25411,5.2772,5.36327,5.32454,5.40733,5.37987,5.19602,5.41965,5.31896,5.5471,5.67052,5.1546,5.58334,5.39835,5.84041,5.40031,5.17224,5.44395,5.83647,5.45592,5.54313,5.02159,5.48508,5.5288,5.38018,5.47177,5.55008,5.12877,5.47299,5.13968
"141209_at",7.65238,7.51818,7.63492,7.4516,7.53137,7.59254,7.37731,7.42033,7.54474,7.73129,7.42149,7.57755,7.53948,7.42456,7.47577,7.33966,7.40192,7.41678,7.50339,7.45956,7.37638,7.12219,7.30661,7.32624,7.30555,7.51354,7.36444,7.37153,7.31211,7.1698
"141210_at",3.5291,3.5503,3.74692,3.42581,3.50344,3.52891,3.6691,3.37851,3.59729,3.58484,3.73379,3.63822,3.58981,3.67696,3.48838,3.40808,3.53028,3.61831,3.47342,3.59413,3.50915,3.28755,3.63776,3.44555,3.47189,3.6093,3.6838,3.4342,3.47454,3.64369
"141211_at",4.5077,4.14471,4.50151,4.15154,4.36768,4.15994,4.2242,4.34212,4.17004,4.37413,4.19625,4.22376,4.12644,4.14887,4.18482,4.25374,4.18591,4.32889,4.24678,4.16105,4.12074,3.94355,4.38753,4.12068,4.07444,4.26269,4.17312,4.15166,4.20791,4.0952
"141212_at",8.51431,8.46774,8.57705,8.02362,8.30532,8.41185,8.29815,8.39907,8.39813,8.69947,8.60951,8.35652,8.61268,8.63582,8.50485,8.17741,8.12045,8.63377,8.62564,8.62026,8.53367,8.01022,8.8203,8.4762,8.17233,8.53981,8.39698,8.56758,8.31738,8.29554
"141213_at",2.78113,2.8395,2.96496,2.8555,2.92123,2.85974,2.66097,2.6649,2.84571,2.68882,2.47839,2.65638,2.77151,2.77311,2.50396,2.59327,2.71355,2.69272,2.65472,2.66134,2.80575,2.80664,2.79263,2.74147,2.75735,2.65532,2.6978,2.74876,2.76708,2.79827
"141214_at",8.21061,8.24653,8.07802,7.94235,7.99161,7.91735,7.84213,8.03968,8.0931,7.96086,8.0216,7.81761,7.84888,7.69345,7.94678,7.63522,7.5251,7.84961,7.96318,7.85476,8.02137,7.49431,7.02776,8.02397,7.679,8.14282,8.01777,7.56722,7.67096,7.30358
"141215_at",7.16183,7.02312,7.30875,6.88033,7.06282,7.07547,7.08084,6.975,7.19182,7.13427,7.11256,7.16074,7.20288,7.23929,7.02391,7.16865,6.9799,7.22104,7.08136,7.17888,7.02851,6.90596,7.17843,7.14993,6.97931,7.08119,7.09893,6.9841,6.92453,6.98785
"141216_at",6.68097,6.60819,6.53408,6.40755,6.5773,6.56141,6.4636,6.42705,6.38984,6.68305,6.5756,6.41563,6.55147,6.43247,6.56754,6.41604,6.44188,6.61507,6.44927,6.63159,6.56089,6.35604,6.58784,6.42421,6.43506,6.4442,6.46303,6.59715,6.46513,6.52092
"141217_at",7.78125,7.5936,7.79895,7.46832,7.54929,7.67173,7.60481,7.6362,7.74599,7.6925,7.47285,7.51875,7.46227,7.46654,7.48371,7.03538,7.06641,7.33927,7.45249,7.41221,7.34959,7.1868,7.39786,7.56147,7.19669,7.66538,7.53288,7.46142,7.41369,7.09142
"141218_at",6.14903,6.4209,6.27877,6.54432,5.9011,6.1308,5.6991,6.15707,6.06882,6.49789,7.00378,6.18008,6.52619,6.09687,6.83792,6.8941,6.5243,7.08327,7.10943,6.48753,7.14977,6.70218,5.30594,6.49369,6.76091,6.74175,6.69731,6.06259,6.35813,5.81398
"141219_at",4.45186,4.18835,4.23165,4.17814,4.13921,4.20603,4.27974,4.18156,4.28629,4.281,4.40338,4.14695,4.31118,4.32015,4.24537,4.14299,4.09948,4.44535,4.44688,4.33615,4.19786,4.27219,4.39809,4.18606,4.03068,4.24349,4.29005,4.1068,4.2598,4.09381
"141220_at",5.39986,5.25206,5.35942,5.12098,5.05888,5.04394,4.94891,5.44463,5.22621,5.42126,5.52418,5.1304,5.16834,4.68448,5.21412,5.21919,5.22956,5.44043,5.55294,5.2691,5.36708,5.26747,4.39897,5.4388,5.33168,5.43173,5.41943,5.33276,5.33683,4.59673
"141221_at",2.95702,3.16681,3.10794,3.13469,3.04453,2.9531,2.69167,3.03471,2.718,3.11481,2.93941,3.1422,3.17178,2.97482,3.25419,3.36174,3.25926,3.3082,3.17245,3.31529,3.5288,3.27833,2.81651,3.21311,3.27887,3.21255,3.03436,3.24551,3.06563,2.78582
"141222_at",8.15824,8.18627,8.17293,7.92396,8.0267,8.18421,8.15698,8.25011,8.06097,8.19205,8.11623,8.07983,8.18685,8.18387,8.11799,7.96578,7.90657,8.18436,8.13383,8.07844,8.06161,7.94055,8.35061,8.03994,8.03542,8.1062,8.1447,8.19967,8.01762,7.93008
"141223_at",3.7241,3.792,4.01422,3.70758,3.8548,3.84547,4.06817,3.73602,3.94684,3.78274,3.81044,3.84421,3.74018,3.73227,3.90751,3.65975,3.64298,3.92781,3.72859,3.90917,3.80438,3.70889,3.79733,3.65156,3.60104,3.75027,3.7163,3.64795,3.91027,3.44077
"141224_at",4.71435,4.73116,4.77451,4.64114,4.46153,4.8154,4.57269,4.6854,4.5018,4.96914,5.10588,4.99689,4.94606,4.87599,5.08311,4.92649,4.73961,4.96084,5.1857,4.85181,5.0476,4.59487,5.22794,4.73567,4.88272,4.91974,5.13448,4.70901,4.80756,4.57031
"141225_at",5.80221,5.54748,5.6218,5.53663,5.65125,5.73525,5.66617,5.59353,5.54727,5.70671,5.77625,5.6255,5.7042,5.80164,5.72534,5.69291,5.75656,5.70255,5.72154,5.71764,5.62157,5.84215,5.8061,5.53028,5.62551,5.67354,5.67092,5.69544,5.70685,5.85446
"141226_at",7.12296,6.9916,6.7853,6.62804,6.7651,6.73139,6.6878,6.62894,6.77454,6.82927,7.00645,6.69621,6.99815,6.92861,6.97279,6.68919,6.29822,7.00962,7.11232,6.85918,7.01355,6.35141,6.87491,6.886,6.74662,6.79922,6.89194,6.83227,6.72055,6.56091
"141227_at",5.82767,5.80101,5.80871,5.85763,5.70553,6.01903,5.75706,5.71192,5.89549,6.03047,5.91776,5.76761,5.88442,5.82585,5.90142,5.6907,5.66409,5.81681,5.62964,5.70871,5.85345,5.65904,5.89778,5.74355,5.60855,5.80956,5.67957,5.67035,5.596,5.39137
"141228_at",7.44077,7.28632,7.25429,7.09771,7.27936,7.45532,7.33234,7.39681,7.45667,7.43219,7.32676,7.25989,7.21304,7.13171,7.33716,7.01625,7.15851,7.10682,7.05072,7.22806,7.22991,6.97902,7.16543,7.11799,7.05133,7.35701,7.23766,7.16057,7.13015,7.28699
"141229_at",6.44476,6.24242,6.37333,6.26206,6.3454,6.31226,6.26913,6.33023,6.32545,6.47481,6.36345,6.37411,6.20872,6.27271,6.25131,6.26241,6.10804,6.12092,6.33696,6.27544,6.26461,6.27172,6.21673,6.15743,6.16549,6.13745,6.20373,6.07718,6.09446,6.14783
"141230_at",5.45097,5.35237,5.40843,5.02731,5.03784,5.15709,5.33161,5.10191,5.10907,5.08277,5.17009,5.07511,4.99876,5.24904,5.36294,5.12342,5.12228,5.25344,5.27206,5.32669,5.24003,5.00949,5.45457,5.21545,4.92565,5.23414,5.11132,5.26004,5.17732,5.22293
"141231_at",6.97321,6.81896,6.99017,6.54794,6.77069,6.84547,6.81297,6.80765,6.83843,6.96242,6.70953,6.76493,6.80973,6.87095,6.74869,6.63511,6.58665,6.84745,6.6897,6.69731,6.64321,6.44169,7.01028,6.70436,6.66758,6.73895,6.84003,6.73399,6.79233,6.61311
"141232_at",5.65712,5.60905,5.60048,5.72218,5.58908,5.62869,5.75571,5.53911,5.72356,5.7621,5.82465,5.67144,5.54702,5.67153,5.68393,5.5924,5.579,5.60236,5.78418,5.62732,5.63254,5.58477,5.71181,5.56898,5.70035,5.5962,5.79478,5.65978,5.55934,5.52838
"141233_at",2.91109,2.6841,2.71471,2.903,2.83194,2.71343,3.29223,3.34711,3.52945,2.64825,2.7124,2.60674,2.67694,2.81242,2.83341,3.00848,3.02307,2.82539,2.76708,2.78932,2.57728,3.26836,3.60126,4.69233,3.165,3.24266,4.24329,3.42929,3.35953,3.23312
"141234_at",4.98633,4.67868,4.82544,4.68179,4.59757,4.96635,4.8578,4.79102,4.80335,4.802,5.00909,4.88865,4.75015,4.82352,4.82444,4.57509,4.53795,4.78248,4.75652,4.75549,4.59993,4.71102,4.983,4.73237,4.66037,4.85674,4.73171,4.63183,4.88971,4.65947
"141235_at",5.42139,5.33811,5.19427,5.08916,5.28014,5.44537,5.20171,5.25123,5.16679,5.52015,5.58547,5.31323,5.4835,5.43122,5.48977,5.28548,5.22865,5.26458,5.30692,5.54792,5.47254,5.25876,5.13265,5.25385,5.11628,5.38237,5.22644,5.09415,5.23528,5.24192
"141236_at",4.91948,4.87927,4.94881,4.83717,4.94593,4.92142,4.92247,5.02691,4.9469,4.98009,4.92089,4.84893,5.02854,4.88381,4.91665,4.68028,4.80851,4.91536,4.84188,4.92981,5.00269,4.92777,4.88335,4.97022,4.84629,5.0233,4.95887,4.89616,4.86597,4.6884
"141237_at",5.72373,5.81039,5.93065,5.70779,5.74434,5.85972,5.64899,5.75258,5.76148,6.02836,6.02787,5.93215,5.90053,5.85116,5.82244,5.85022,5.63032,5.95299,6.00423,5.86903,5.72178,5.78049,6.06694,5.93528,5.72352,5.96684,5.83277,5.62318,5.69138,5.70542
"141238_at",2.61801,2.56292,2.59059,2.66688,2.79964,2.8015,2.70158,2.64329,2.82198,2.60899,2.68742,2.7317,2.56223,2.57058,2.68733,2.77151,2.78975,2.65508,2.6828,2.76419,2.67595,2.88093,2.67631,2.6008,2.85261,2.71191,2.75805,2.82988,2.74125,2.82929
"141239_at",2.29077,2.32963,2.24859,2.305,2.16953,2.54157,2.54898,2.40551,2.60605,2.26664,2.22832,2.32486,2.19053,2.35367,2.293,2.24648,2.26169,2.15115,2.24761,2.2591,2.20516,2.28503,2.31567,2.29815,2.27935,2.29913,2.21846,2.39286,2.3291,2.26235
"141240_at",4.38552,4.28694,4.31154,4.06983,4.32772,4.50354,4.35654,4.23405,4.45969,4.44278,4.26022,4.23456,4.28458,4.30674,4.13541,4.21108,4.20003,4.25871,4.22438,4.17072,4.10738,4.24822,4.31921,4.2589,4.10427,4.21382,4.11294,4.11427,4.3646,4.26643
"141241_at",3.97213,3.80504,4.01892,4.0641,3.91906,4.15468,4.23245,4.05948,3.95444,4.21139,4.08182,4.18048,4.07733,4.03581,4.09889,4.05166,3.85603,4.26711,4.21036,3.92615,4.02033,3.94928,3.73686,3.93505,4.00345,3.98013,4.11769,3.89896,3.82982,3.96248
"141242_at",7.52545,7.77743,7.26632,7.38235,7.54857,7.44956,7.0539,7.30108,7.08161,7.39767,7.32571,7.15577,7.17883,7.22351,7.48536,7.69596,7.31876,7.47204,7.42003,7.22836,7.34351,6.99117,7.35184,7.17271,7.21593,6.86267,7.40818,6.88902,7.17664,6.85894
"141243_at",3.44468,3.64199,3.41962,3.29265,3.33446,3.43887,3.49585,3.30052,3.55523,3.57356,3.5481,3.40588,3.47412,3.30522,3.41362,3.17159,3.36993,3.40067,3.46625,3.60823,3.44167,3.27051,3.40511,3.58324,3.26426,3.34322,3.33842,3.41071,3.28898,3.24971
"141244_at",4.67641,5.0562,4.87079,4.85434,4.74054,4.95174,4.94897,5.22847,4.66876,5.72303,5.85406,5.34144,5.61148,5.39603,5.54889,5.26119,5.02659,5.56707,5.53056,5.43795,5.44926,5.24077,5.09211,5.38714,5.38249,5.49635,5.39267,5.13151,5.25826,5.07158
"141245_at",2.9144,2.71458,2.92131,2.96419,2.85233,2.92862,2.78865,2.62043,3.09127,3.0144,2.93937,2.98246,3.13284,3.28507,2.76046,2.99591,2.92657,2.92134,2.87753,3.1089,2.79652,2.96211,2.9283,2.91614,2.84692,2.91964,2.79348,2.95439,2.92342,3.02231
"141246_at",7.35798,7.26246,7.32237,7.33485,7.36608,7.36454,7.3513,7.19375,7.21971,7.36863,7.33277,7.41814,7.39378,7.52763,7.38738,7.21012,7.29597,7.27119,7.28996,7.25825,7.10984,7.26227,7.44897,7.30002,7.2119,7.36854,7.30362,7.33285,7.31862,7.37062
"141247_at",6.21445,5.92179,6.03257,6.09128,6.12819,6.27133,6.08131,6.16902,6.18286,6.19999,6.19395,6.171,6.12258,6.35506,6.21306,6.07192,6.06266,6.06013,6.14905,6.16491,6.09336,6.01418,6.16899,6.08907,5.90126,6.03764,6.16805,5.86795,6.10635,6.1292
"141248_at",3.14561,3.23239,3.07491,3.08048,3.29571,3.2367,3.19094,3.20477,3.34996,3.45333,3.53862,3.28462,3.35026,3.17155,3.32427,3.21125,3.13702,3.20893,3.28489,3.34818,3.3173,3.09471,3.25383,3.34333,3.19832,3.34425,3.25457,3.16504,3.29897,3.22663
"141249_at",3.34064,3.21084,3.10967,3.18595,3.30642,3.32125,3.20518,3.25063,3.37295,3.24405,3.31281,3.26196,3.19437,3.31807,3.3365,3.16837,3.44398,3.2126,3.27918,3.44143,3.04558,3.34052,3.29774,3.27486,3.35852,3.32685,3.29417,3.25667,3.28961,3.53294
"141250_at",5.08075,4.88914,5.18439,4.93782,4.94592,5.11852,5.04932,5.12554,5.23062,5.10283,5.06408,5.03714,5.1884,5.09454,5.0163,5.13865,5.02624,5.25186,5.12719,5.12974,4.9411,5.00676,5.39692,5.20519,5.07512,5.03681,5.24116,5.33414,5.16548,5.0904
"141251_at",6.24387,6.40996,6.42854,6.09379,6.10459,6.09998,6.14206,6.31245,6.2747,6.20233,6.36495,5.95674,6.22092,6.17697,6.19011,6.09224,5.86184,6.17931,6.16234,6.08768,6.134,5.90636,6.42086,6.33075,6.2415,6.19572,6.29758,6.35122,6.22161,6.13686
"141252_at",3.07811,3.00602,3.18334,2.77973,2.89338,3.07878,2.95838,3.076,3.04568,3.3997,3.3026,3.03173,3.28676,3.35391,3.21166,3.14623,2.95232,3.21926,3.18117,3.27368,3.28116,2.95042,3.14105,3.17449,3.08825,3.17321,3.15482,2.99244,3.0206,2.95335
"141253_at",4.15725,4.25833,4.26804,4.25911,4.28677,4.22815,4.09002,4.01629,4.21646,4.09378,4.06646,4.0755,4.08603,4.21791,4.26885,4.19393,4.39884,4.33655,4.20837,4.29018,4.22271,4.0865,4.18267,4.13928,4.10577,4.09635,4.15322,3.97897,4.1301,4.08277
"141254_at",6.74552,6.63508,6.59847,6.44999,6.56742,6.66503,6.45477,6.62918,6.69483,6.87164,6.71907,6.66503,6.71416,6.79949,6.65959,6.41952,6.46834,6.65627,6.65782,6.70079,6.79742,6.40209,6.80088,6.54692,6.49801,6.70961,6.62305,6.51989,6.59234,6.56979
"141255_at",6.13903,6.15974,6.27932,5.95259,5.9872,6.06855,5.89633,5.93889,5.91752,6.23198,6.27346,6.14478,6.26995,6.08877,6.24352,5.98799,5.84299,6.09524,6.10172,6.01134,6.20876,5.59966,6.19311,6.11096,5.78306,6.24962,6.36486,5.91905,6.02074,5.86102
"141256_at",3.72306,3.90757,3.88044,3.66382,3.74734,3.76325,3.75383,3.85323,3.63334,3.95146,3.94634,3.88844,3.89349,3.79495,3.92413,3.96592,3.91863,3.94708,4.09727,3.91184,4.03466,4.10285,3.94318,4.06891,4.15983,3.97078,3.97411,4.15052,4.09505,3.69344
"141257_at",7.07037,7.07893,7.1632,7.01253,6.73954,6.76796,6.89135,6.8698,6.85009,7.22037,7.08855,6.96006,7.02029,6.74735,7.04275,7.13158,7.18201,7.09321,7.23703,7.01361,7.06969,7.16838,6.96057,7.22633,7.39822,7.27184,7.35702,7.23518,7.12067,6.66649
"141258_at",3.45708,3.332,3.25896,2.80886,2.93173,3.23093,2.90964,3.0172,2.87839,3.15579,3.28373,2.84618,3.0432,3.1085,3.18667,3.02272,2.90907,3.26724,3.12424,3.12672,3.16507,2.55125,2.95702,3.04697,2.96362,2.98647,3.00396,2.82905,2.76647,2.82228
"141259_at",2.77055,2.78672,2.79471,2.78134,2.88797,2.74369,3.03767,2.83151,2.87931,2.78928,2.69566,2.94618,2.70783,2.80938,2.77245,2.86632,2.82628,2.75578,2.82659,2.70992,2.76589,3.05431,2.70376,2.7924,2.71877,2.69796,2.72912,2.78421,2.89412,2.82427
"141260_at",6.3794,6.4196,6.10655,6.47777,6.4306,6.17246,6.15569,6.43684,6.35943,6.16972,6.27353,6.06092,6.07401,6.00146,6.25348,6.51856,6.39829,6.32743,6.51367,6.06026,6.06055,5.74036,6.49748,6.18914,6.00615,6.12236,6.63204,6.11037,5.92987,5.7745
"141261_at",5.53773,5.53804,5.57412,5.53227,5.38455,5.56813,5.43305,5.39935,5.51606,5.52464,5.63445,5.6009,5.6976,5.74738,5.56859,5.53688,5.47577,5.67353,5.62847,5.5923,5.67751,5.49013,5.76532,5.60933,5.60348,5.58131,5.52966,5.61604,5.56285,5.48609
"141262_at",5.76856,5.8685,5.93385,5.83402,5.86824,5.94129,5.78254,6.02063,5.95126,6.00293,5.75581,5.88649,5.66811,5.58809,5.93183,5.77983,5.84916,5.77154,5.75371,5.81045,5.70699,5.81857,5.62274,5.73062,5.75618,5.70453,5.80785,5.71925,5.78456,5.84026
"141263_at",2.44885,2.51056,2.29395,2.37984,2.37823,2.33788,2.23782,2.44019,2.54957,2.21594,2.57267,2.48911,2.41529,2.43535,2.42841,2.44125,2.54432,2.43399,2.43781,2.6258,2.52767,2.56501,2.63567,2.50752,2.45012,2.46962,2.45166,2.46509,2.4764,2.51806
"141264_at",4.3346,4.25614,4.14236,4.31784,4.38742,4.26256,4.35699,4.23985,4.37024,4.21834,4.11083,4.31882,4.08041,4.32806,4.06631,4.25725,4.26182,4.18721,4.28742,4.21743,4.22712,4.37635,4.28941,4.20856,4.42941,4.28341,4.25445,4.3061,4.29341,4.23788
"141265_at",5.43603,5.24866,5.42027,5.25125,5.12623,5.13283,5.46227,5.4215,5.28538,5.61704,5.61672,5.53375,5.44535,5.57706,5.51321,5.22984,5.27481,5.46353,5.44788,5.38096,5.33411,5.10521,5.64284,5.47479,5.36566,5.59782,5.65477,5.38837,5.42372,5.30533
"141266_at",3.5999,3.56025,3.59751,3.52012,3.48662,3.50265,3.52004,3.63929,3.49388,3.70487,3.61598,3.4703,3.84181,3.70447,3.53493,3.52686,3.45376,3.63322,3.56154,3.55221,3.54434,3.62439,3.4875,3.42647,3.40212,3.52686,3.38399,3.64105,3.57602,3.72506
"141267_at",5.09907,5.35269,5.10817,5.33783,5.13459,5.33547,5.01501,5.52806,4.91815,5.86887,6.0168,5.50506,5.8155,5.48761,5.89109,5.52427,5.46718,5.81428,5.76656,5.50469,5.90348,5.4593,5.23635,5.69229,5.54735,5.75669,5.83617,5.50247,5.77752,5.32432
"141268_at",7.84872,8.05096,7.85234,7.83991,7.77696,7.91915,7.75219,7.81423,7.46711,8.16774,8.2771,7.80337,8.1722,7.90831,8.1971,7.96049,7.64874,8.06423,8.08911,7.97773,8.16469,7.82655,7.53983,7.77654,7.68658,8.13801,7.96527,7.6476,7.9958,7.67845
"141269_at",5.52937,5.58932,5.5986,5.44657,5.36853,5.57395,5.59737,5.47502,5.58847,5.47453,5.53265,5.29257,5.41991,5.61013,5.30434,5.41354,5.56096,5.52743,5.54617,5.45462,5.47543,5.38839,5.61114,5.42741,5.56288,5.30617,5.58939,5.51232,5.51573,5.52709
"141270_at",4.43165,4.31799,4.22756,4.51113,4.27893,4.44022,4.50984,4.4069,4.37153,4.41102,4.78263,4.63575,4.5476,4.67029,4.4863,4.29896,4.31181,4.63499,4.46017,4.37161,4.55692,4.58785,4.25371,4.40976,4.4553,4.35856,4.29126,4.43672,4.43229,4.42913
"141271_at",6.92564,6.83033,6.81128,6.84987,6.84075,6.87949,6.89176,6.92909,7.03733,6.69194,7.10031,6.84331,6.95892,6.85362,7.02336,6.65336,6.51357,7.12859,6.78742,6.7254,6.78651,6.69254,6.97635,6.87166,7.10995,7.1825,7.02711,6.81324,6.82975,6.61453
"141272_at",7.17874,7.00266,7.04516,6.88427,6.95233,7.1462,6.99761,6.78996,6.94549,7.25894,7.19944,7.00748,7.06647,6.90405,6.99471,6.9165,6.76562,7.08339,7.13405,6.94457,6.98217,6.94265,6.85892,6.84368,6.83618,7.04863,7.052,6.96624,6.87856,6.8845
"141273_at",2.96183,2.98673,3.04676,2.98739,2.82095,2.90613,2.94206,2.92323,2.95762,3.00408,2.96761,3.00347,3.10404,3.00284,3.00365,2.92758,2.91429,3.06858,3.08285,3.10498,2.74411,2.85936,3.09462,2.98166,2.92653,2.97402,2.88238,2.92156,2.96478,2.95296
"141274_at",6.43554,6.25826,6.21197,6.19775,6.31327,6.4588,6.32337,6.34625,6.24099,6.38433,6.45201,6.34995,6.37526,6.27516,6.3528,6.29858,6.28819,6.31897,6.38339,6.43916,6.40305,6.32949,6.6449,6.29538,6.26248,6.31225,6.37733,6.38593,6.34133,6.39091
"141275_at",2.36378,2.49642,2.51763,2.32547,2.31446,2.31303,2.16994,2.58529,2.35973,2.54608,2.53768,2.35858,2.40088,2.3405,2.5731,2.44347,2.44955,2.52641,2.60835,2.41408,2.47024,2.46715,2.44109,2.55467,2.45414,2.72462,2.66961,2.45394,2.36597,2.41964
"141276_at",5.77338,5.65774,5.62929,5.54601,5.52728,5.4524,5.63944,5.46961,5.795,5.55861,5.81088,5.55507,5.70636,5.58035,5.75038,5.5533,5.44847,5.29878,5.51993,5.51073,5.32757,5.33118,5.5687,5.4246,5.36118,5.47443,5.31513,5.32629,5.36449,5.26874
"141277_at",4.14882,4.35559,4.06375,4.03304,4.22653,4.0863,4.37143,4.01596,4.17899,4.22463,4.1807,4.07968,4.07531,4.11866,4.11897,3.91806,3.95471,4.13248,4.11285,4.17276,3.96653,3.88718,3.9365,4.27094,3.97612,4.11793,4.05919,4.24022,4.00915,3.80837
"141278_at",8.41911,8.33691,8.22026,8.27409,8.18892,8.33042,8.21338,8.29489,8.39225,8.63174,8.84107,8.25097,8.68907,8.22812,8.62961,8.3448,8.17085,8.4538,8.74615,8.28241,8.65161,8.45224,8.51564,8.53858,8.49052,8.62459,8.47966,8.38225,8.53183,8.15795
"141279_at",7.41247,7.23786,7.36493,7.09671,7.33473,7.41919,7.1796,7.27338,7.23769,7.47945,7.34718,7.32899,7.44292,7.46417,7.43016,7.21106,7.26397,7.27985,7.27255,7.34227,7.35446,7.14583,7.31763,7.31049,7.06045,7.29318,7.29284,7.14452,7.3218,7.02883
"141280_at",4.71697,4.59101,4.46326,4.39417,4.55974,4.57784,4.51736,4.49457,4.43794,4.81495,4.75436,4.58083,4.83398,4.78246,4.72229,4.6786,4.56102,4.71275,4.61556,4.62086,4.7111,4.48245,4.65598,4.69939,4.52367,4.75881,4.59333,4.55593,4.69036,4.45324
"141281_at",4.99752,4.89828,4.75437,4.99567,4.78403,5.01573,4.89596,4.87517,4.88244,5.16907,5.63784,5.14662,5.26481,5.06683,5.66838,5.20997,4.9851,5.48855,5.27156,4.90183,5.33685,5.36347,4.81433,4.96621,5.22724,5.08872,5.07673,4.98096,5.10387,5.06292
"141282_at",2.78713,2.80464,2.63658,2.47755,2.82147,2.69914,2.76695,2.76818,3.14933,2.74571,2.70983,2.67919,2.69619,2.78266,2.551,2.52236,2.59017,2.70377,2.70596,2.74897,2.51613,2.83595,2.71236,2.68058,2.57895,2.75928,2.74112,2.75281,2.73485,2.88741
"141283_at",5.48464,5.36052,5.58364,4.89433,5.41578,5.18417,5.56348,5.4209,5.43527,5.55112,5.67361,5.20105,5.58244,5.57876,5.41994,5.05211,5.11073,5.65707,5.33667,5.61657,5.33258,5.12,5.86792,5.41462,5.25332,5.69138,5.46127,5.52448,5.44929,5.10696
"141284_at",3.98878,3.97916,3.98492,3.92193,3.98694,4.15958,3.7674,3.797,4.12045,3.71592,3.8877,3.97156,3.81006,3.96018,3.78364,3.94131,4.0719,3.80063,4.04161,3.87265,3.86289,4.11576,4.09796,3.82093,4.0076,3.96947,3.74703,4.09014,3.89891,4.3126
"141285_at",4.29642,4.84876,4.34564,4.56906,4.45305,4.44931,4.40709,4.48602,4.26202,4.69445,4.95307,4.61808,4.8749,4.27977,4.89255,5.01203,4.78523,5.04677,4.92022,4.72417,5.15486,4.89587,4.34892,4.76578,4.89364,4.65395,4.7403,4.58708,4.68807,4.41038
"141286_at",2.57228,2.47889,2.44802,2.54857,2.55759,2.4934,2.6624,2.50661,2.58376,2.34505,2.48101,2.59574,2.38831,2.496,2.38448,2.32685,2.48887,2.4288,2.40443,2.44404,2.55106,2.60771,2.69635,2.27863,2.42514,2.34674,2.35912,2.61318,2.58117,2.60419
"141287_at",3.90516,4.13366,4.02095,3.95125,3.96322,3.89703,4.00881,4.06851,3.91284,3.93814,3.90142,3.98856,3.87398,3.94336,4.04768,3.89375,4.0035,3.87673,3.96218,3.94041,3.95433,3.71398,3.90838,3.89773,3.74844,3.78923,3.86566,3.82791,3.96685,3.81217
